Time (s),Position Simple (m),Position Verlet (m),Position Theory (m),R.D Position Simple (%),R.D Position Verlet (%),Velocity Simple (m/s),Velocity Verlet (m/s),Velocity Theory (m/s),R.D Velocity Simple (%),R.D Velocity Verlet (%)
0.1,99.90183005529434,99.95091502764717,99.95117627042647,0.04937031956344568,0.0002613703900749417,-0.9816994470566321,-0.9816994394930707,-0.9801304020355701,0.16008533331925864,0.1600845616299581
0.2,99.7058043127315,99.8038171840117,99.80496478128978,0.09935424432600051,0.001149839870784029,-1.9602574256284377,-1.9602574105497224,-1.9539979803138294,0.3203404188576997,0.3203396471723889
0.30000000000000004,99.41223591690579,99.5590201148126,99.5619878210535,0.15041072142600764,0.0029807623429970293,-2.9356839582571417,-2.9356839357114484,-2.9216427228785733,0.48059385456734205,0.4805930828886856
0.4,99.0214370133549,99.21683646511345,99.22286370487787,0.20300431170992903,0.006074446492844881,-3.907989035508849,-3.9079890055441244,-3.8831043624507515,0.6408448173252771,0.6408440456559712
0.5,98.53371875174729,98.77757788251495,98.78820679998925,0.25760974562197925,0.010759297914807365,-4.877182616076063,-4.877182578740023,-4.83842237805851,0.8010924840568849,0.8010917123995737
0.6,97.94939128905935,98.24155502033716,98.25862755088771,0.3147166508795455,0.017375095679723517,-5.8432746268793805,-5.843274582219513,-5.787635996657173,0.9613360317467033,0.9613352601040528
0.7,97.26876379274246,97.6090775407916,97.63473250439343,0.37483455145892514,0.026276472464006672,-6.806274963168855,-6.80627491123242,-6.730784194738533,1.1215746374595341,1.1215738658342196
0.7999999999999999,96.49214444387995,96.88045411814332,96.91712433453343,0.4384982463847687,0.03783667400564877,-7.7661934886250465,-7.766193429459078,-7.667905699930316,1.2818074783525846,1.281806706747267
0.8999999999999999,95.61984044033397,96.05599244186271,96.10640186726921,0.506273689870546,0.0524516831627086,-8.72304003545974,-8.723039969111046,-8.599038992585008,1.4420337316955745,1.442032960112916
0.9999999999999999,94.65215799988233,95.13599921976746,95.20316010506664,0.5787645122033988,0.070544806732328,-9.676824404516347,-9.676824331031511,-9.524222307358627,1.6022525748880956,1.6022518033307585
